date,home_team_goal,away_team_goal,league_id,season
2008-08-17 00:00:00,1,1,1,2008/2009
2008-08-16 00:00:00,0,0,1,2008/2009
2008-08-16 00:00:00,0,3,1,2008/2009
2008-08-17 00:00:00,5,0,1,2008/2009
2008-08-16 00:00:00,1,3,1,2008/2009
2008-09-24 00:00:00,1,1,1,2008/2009
2008-08-16 00:00:00,2,2,1,2008/2009
2008-08-16 00:00:00,1,2,1,2008/2009
2008-08-16 00:00:00,1,0,1,2008/2009
2008-11-01 00:00:00,4,1,1,2008/2009
2008-10-31 00:00:00,1,2,1,2008/2009
2008-11-02 00:00:00,0,2,1,2008/2009
2008-11-01 00:00:00,0,0,1,2008/2009
2008-11-01 00:00:00,2,2,1,2008/2009
2008-11-01 00:00:00,1,2,1,2008/2009
2008-11-01 00:00:00,0,1,1,2008/2009
2008-11-01 00:00:00,1,3,1,2008/2009
2008-11-02 00:00:00,1,3,1,2008/2009
2008-11-08 00:00:00,2,3,1,2008/2009
2008-11-08 00:00:00,0,0,1,2008/2009
2008-11-09 00:00:00,2,2,1,2008/2009
2008-11-07 00:00:00,2,0,1,2008/2009
2008-11-08 00:00:00,1,1,1,2008/2009
2008-11-08 00:00:00,1,2,1,2008/2009
2008-11-08 00:00:00,0,0,1,2008/2009
2008-11-08 00:00:00,1,0,1,2008/2009
2008-11-09 00:00:00,1,3,1,2008/2009
2008-11-16 00:00:00,1,1,1,2008/2009
2008-11-15 00:00:00,1,1,1,2008/2009
2008-11-15 00:00:00,2,2,1,2008/2009
2008-11-16 00:00:00,1,1,1,2008/2009
2008-11-15 00:00:00,1,0,1,2008/2009
2008-11-15 00:00:00,0,0,1,2008/2009
2008-11-15 00:00:00,2,1,1,2008/2009
2008-11-15 00:00:00,3,0,1,2008/2009
2008-11-14 00:00:00,3,2,1,2008/2009
2008-11-22 00:00:00,2,0,1,2008/2009
2008-11-22 00:00:00,3,1,1,2008/2009
2008-11-22 00:00:00,1,2,1,2008/2009
2008-11-22 00:00:00,3,2,1,2008/2009
2008-11-22 00:00:00,2,1,1,2008/2009
2008-11-23 00:00:00,2,3,1,2008/2009
2008-11-22 00:00:00,2,2,1,2008/2009
2008-12-16 00:00:00,1,0,1,2008/2009
2008-11-22 00:00:00,0,2,1,2008/2009
2008-11-30 00:00:00,3,0,1,2008/2009
2008-11-29 00:00:00,3,2,1,2008/2009
2008-11-29 00:00:00,4,2,1,2008/2009
2008-11-29 00:00:00,4,0,1,2008/2009
2008-11-28 00:00:00,0,2,1,2008/2009
